,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
123,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,23.778324225659983 dimensionless,1.4666381683747198 dimensionless,,,,,,,0.9626619289599565 gram / milliliter,0.0001432333182901178 gram / milliliter
124,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,13.666575848963268 dimensionless,1.0138511522311109 dimensionless,,,,,,,0.8749259857449774 gram / milliliter,0.00031041641070655345 gram / milliliter
125,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,3.3412535416072418 dimensionless,0.7275025697856181 dimensionless,,,,,,,1.0075746838374002 gram / milliliter,0.000378123352715856 gram / milliliter
126,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,,,-28.308719361590192 kilogram * meter ** 2 / mole / second ** 2,12.4873809255726 kilogram * meter ** 2 / mole / second ** 2,,
127,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,,,-3.712122993205526e-07 meter ** 3 / mole,1.4875659245504867e-08 meter ** 3 / mole,,,,,,
128,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,,,-3.251233668214457e-07 meter ** 3 / mole,1.6311111730682187e-08 meter ** 3 / mole,,,,,,
129,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,,,,,,,,,0.8608721890545954 gram / milliliter,0.0002649457943612939 gram / milliliter
130,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,,,,,,,,,0.9749405760433035 gram / milliliter,0.00034016331520750576 gram / milliliter
131,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,,,68230.40471960211 kilogram * meter ** 2 / mole / second ** 2,289.4504701819799 kilogram * meter ** 2 / mole / second ** 2,,,,
132,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,,,67962.88435472795 kilogram * meter ** 2 / mole / second ** 2,313.1914423825971 kilogram * meter ** 2 / mole / second ** 2,,,,
133,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,,,49610.52633533127 kilogram * meter ** 2 / mole / second ** 2,259.6136845502421 kilogram * meter ** 2 / mole / second ** 2,,,,
134,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,,,54548.23293158893 kilogram * meter ** 2 / mole / second ** 2,264.75499060816963 kilogram * meter ** 2 / mole / second ** 2,,,,
135,298.15 kelvin,101.0 kilopascal,2,2,CO,0.2,O,0.8,,,,,,,-39.284874651497375 kilogram * meter ** 2 / mole / second ** 2,13.910659822526329 kilogram * meter ** 2 / mole / second ** 2,,
136,298.15 kelvin,100.0 kilopascal,2,2,O,0.75,CO,0.25,,,-6.500913847421152e-07 meter ** 3 / mole,1.407397432697239e-08 meter ** 3 / mole,,,,,,
137,298.15 kelvin,100.0 kilopascal,2,2,O,0.25,CO,0.75,,,-6.781102955621894e-07 meter ** 3 / mole,1.4750724622754848e-08 meter ** 3 / mole,,,,,,
138,298.15 kelvin,101.0 kilopascal,2,2,CO,0.8,O,0.2,,,,,,,-110.0530015941531 kilogram * meter ** 2 / mole / second ** 2,16.13838851630688 kilogram * meter ** 2 / mole / second ** 2,,
139,298.15 kelvin,101.0 kilopascal,2,1,CO,1.0,,,18.319076317500087 dimensionless,1.1981329146574284 dimensionless,,,,,,,0.7104404695573114 gram / milliliter,0.0003998614813327178 gram / milliliter
140,303.15 kelvin,101.0 kilopascal,2,1,CS(=O)C,1.0,,,54.31104463875752 dimensionless,1.4779774114247912 dimensionless,,,,,,,1.0965074164910804 gram / milliliter,8.980412647806676e-05 gram / milliliter
141,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,,,,,,,1.0485463234919723 gram / milliliter,0.00037456334590456965 gram / milliliter
142,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,,,68134.25513354855 kilogram * meter ** 2 / mole / second ** 2,272.6301995953421 kilogram * meter ** 2 / mole / second ** 2,,,,
143,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,,,56264.5096355244 kilogram * meter ** 2 / mole / second ** 2,170.31581228582354 kilogram * meter ** 2 / mole / second ** 2,,,,
144,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccc(n1)C,0.004618,O,0.995382,,,,,,,-22.423227312101517 kilogram * meter ** 2 / mole / second ** 2,13.47695146904276 kilogram * meter ** 2 / mole / second ** 2,,
145,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccc(n1)C,1.0,,,,,,,,,,,0.9250571133713523 gram / milliliter,0.0002632743818085164 gram / milliliter
146,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,,,-4.7592843513813486e-07 meter ** 3 / mole,1.638554712683336e-08 meter ** 3 / mole,,,,,,
147,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,,,-4.175066967291365e-07 meter ** 3 / mole,1.7973786319856083e-08 meter ** 3 / mole,,,,,,
148,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-1224.6373584745052 kilogram * meter ** 2 / mole / second ** 2,17.698653298834863 kilogram * meter ** 2 / mole / second ** 2,,
149,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-1062.4084971776974 kilogram * meter ** 2 / mole / second ** 2,18.1713765420537 kilogram * meter ** 2 / mole / second ** 2,,
150,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,,,-2.5315244753854646e-07 meter ** 3 / mole,1.687124070981999e-08 meter ** 3 / mole,,,,,,
151,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,,,-3.6558641577662916e-07 meter ** 3 / mole,1.7274760832693203e-08 meter ** 3 / mole,,,,,,
152,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-925.4391136691411 kilogram * meter ** 2 / mole / second ** 2,17.326614131715388 kilogram * meter ** 2 / mole / second ** 2,,
153,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-771.9750521769311 kilogram * meter ** 2 / mole / second ** 2,16.985481815041755 kilogram * meter ** 2 / mole / second ** 2,,
154,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccccc1N,1.0,,,,,,,,,,,1.0150885731785855 gram / milliliter,0.00037586961844893126 gram / milliliter
155,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccnc1,0.005509,O,0.994491,,,,,,,38.213698881980235 kilogram * meter ** 2 / mole / second ** 2,14.341657739059036 kilogram * meter ** 2 / mole / second ** 2,,
156,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccnc1,1.0,,,,,,,,,,,0.9396797551555336 gram / milliliter,0.00030689375590050406 gram / milliliter
157,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccncc1,0.005492,O,0.994508,,,,,,,33.141422551489086 kilogram * meter ** 2 / mole / second ** 2,15.38480087430838 kilogram * meter ** 2 / mole / second ** 2,,
158,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccncc1,1.0,,,,,,,,,,,0.943432540017052 gram / milliliter,0.00020690406624019258 gram / milliliter
159,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,,,57870.1674872715 kilogram * meter ** 2 / mole / second ** 2,238.17990722703985 kilogram * meter ** 2 / mole / second ** 2,,,,
160,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,,,65614.06225937602 kilogram * meter ** 2 / mole / second ** 2,203.0183542011252 kilogram * meter ** 2 / mole / second ** 2,,,,
161,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,,,61839.804712986304 kilogram * meter ** 2 / mole / second ** 2,176.39312783645616 kilogram * meter ** 2 / mole / second ** 2,,,,
162,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,,,71570.12262497071 kilogram * meter ** 2 / mole / second ** 2,294.32921375497625 kilogram * meter ** 2 / mole / second ** 2,,,,
163,298.15 kelvin,101.0 kilopascal,2,2,Cn1ccnc1,0.006766,O,0.993234,,,,,,,-34.448946836757386 kilogram * meter ** 2 / mole / second ** 2,15.173781641114227 kilogram * meter ** 2 / mole / second ** 2,,
164,298.15 kelvin,101.325 kilopascal,2,1,Cn1ccnc1,1.0,,,,,,,,,,,1.0530096516127203 gram / milliliter,0.0003520064295480948 gram / milliliter
165,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.75,O,0.25,,,,,,,57.1351634880084 kilogram * meter ** 2 / mole / second ** 2,16.342832039870185 kilogram * meter ** 2 / mole / second ** 2,,
166,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.27,O,0.73,,,,,,,-30.58903976716101 kilogram * meter ** 2 / mole / second ** 2,17.505040601251316 kilogram * meter ** 2 / mole / second ** 2,,
167,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,,,,,,,,,1.3646766787573354 gram / milliliter,0.0003661595269314939 gram / milliliter
168,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,,,,,,,,,1.6334624376701454 gram / milliliter,0.0004467851299598787 gram / milliliter
169,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,,,42487.46404830219 kilogram * meter ** 2 / mole / second ** 2,232.1507878043791 kilogram * meter ** 2 / mole / second ** 2,,,,
170,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,,,,,,,,,1.1404591411041958 gram / milliliter,0.0003005705855379117 gram / milliliter
171,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,,,62195.73670451165 kilogram * meter ** 2 / mole / second ** 2,164.3946591523346 kilogram * meter ** 2 / mole / second ** 2,,,,
172,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,,,,,,,,,1.0328388512061046 gram / milliliter,0.0003350174738854689 gram / milliliter
173,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,,,,,,,,,1.6469936709504822 gram / milliliter,0.0004408085646397373 gram / milliliter
174,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,,,49080.10905867388 kilogram * meter ** 2 / mole / second ** 2,157.94692594144234 kilogram * meter ** 2 / mole / second ** 2,,,,
175,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,,,44663.850740344074 kilogram * meter ** 2 / mole / second ** 2,168.79897488159855 kilogram * meter ** 2 / mole / second ** 2,,,,
176,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,,,,,,,,,1.182909288118676 gram / milliliter,0.00028279499936152247 gram / milliliter
177,298.15 kelvin,101.325 kilopascal,2,1,c1ccccc1,1.0,,,,,,,,,,,0.8874725579090966 gram / milliliter,0.00036229460875273993 gram / milliliter
178,298.0 kelvin,101.325 kilopascal,6,1,c1ccccc1,1.0,,,,,,,34710.9873973293 kilogram * meter ** 2 / mole / second ** 2,222.34340835637687 kilogram * meter ** 2 / mole / second ** 2,,,,
179,298.15 kelvin,101.325 kilopascal,2,1,c1ccncc1,1.0,,,,,,,,,,,0.9713063441261327 gram / milliliter,0.0003713626120650975 gram / milliliter
180,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,,,,,,,0.9361638117312562 gram / milliliter,0.00035388981260210407 gram / milliliter
181,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,,,,,,,1.3859386756918828 gram / milliliter,0.000359272418092628 gram / milliliter
182,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,,,67972.49907868702 kilogram * meter ** 2 / mole / second ** 2,294.6258869292398 kilogram * meter ** 2 / mole / second ** 2,,,,
183,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,,,62773.00437496344 kilogram * meter ** 2 / mole / second ** 2,259.1626439256448 kilogram * meter ** 2 / mole / second ** 2,,,,
